Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,Surface area (sq. km),AG.SRF.TOTL.K2,,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,,
Australia,AUS,Surface area (sq. km),AG.SRF.TOTL.K2,,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,7741220,,
Austria,AUT,Surface area (sq. km),AG.SRF.TOTL.K2,,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,,
Azerbaijan,AZE,Surface area (sq. km),AG.SRF.TOTL.K2,,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,86600,,
Burundi,BDI,Surface area (sq. km),AG.SRF.TOTL.K2,,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,27830,,
Belgium,BEL,Surface area (sq. km),AG.SRF.TOTL.K2,,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,33120,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,30530,,
Benin,BEN,Surface area (sq. km),AG.SRF.TOTL.K2,,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,114760,,
Burkina Faso,BFA,Surface area (sq. km),AG.SRF.TOTL.K2,,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,,
Bangladesh,BGD,Surface area (sq. km),AG.SRF.TOTL.K2,,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,148460,147630,147630,147630,147977,147570,,
Bulgaria,BGR,Surface area (sq. km),AG.SRF.TOTL.K2,,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,110990,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000,,
Bahrain,BHR,Surface area (sq. km),AG.SRF.TOTL.K2,,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,710,710,710,710,710,710,710,710,710,710,710,720,730,740,740,750,760,760,762,767,770,770,771,778,779,780,780,,
"Bahamas, The",BHS,Surface area (sq. km),AG.SRF.TOTL.K2,,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,13880,,
Bosnia and Herzegovina,BIH,Surface area (sq. km),AG.SRF.TOTL.K2,,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,51210,,
Belarus,BLR,Surface area (sq. km),AG.SRF.TOTL.K2,,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,207600,,
Belize,BLZ,Surface area (sq. km),AG.SRF.TOTL.K2,,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,22970,,
Bermuda,BMU,Surface area (sq. km),AG.SRF.TOTL.K2,,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,4290,4290,4290,4290,4290,4290,,
Bolivia,BOL,Surface area (sq. km),AG.SRF.TOTL.K2,,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,1098580,,
Brazil,BRA,Surface area (sq. km),AG.SRF.TOTL.K2,,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,8515770,,
Barbados,BRB,Surface area (sq. km),AG.SRF.TOTL.K2,,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,,
Brunei Darussalam,BRN,Surface area (sq. km),AG.SRF.TOTL.K2,,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,5770,,
Bhutan,BTN,Surface area (sq. km),AG.SRF.TOTL.K2,,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,40077,40077,40077,40077,40077,40077,40077,40077,40077,40077,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394,38394,38390,,
Botswana,BWA,Surface area (sq. km),AG.SRF.TOTL.K2,,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,581730,,
Central African Republic,CAF,Surface area (sq. km),AG.SRF.TOTL.K2,,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,,
Canada,CAN,Surface area (sq. km),AG.SRF.TOTL.K2,,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,9879750,,
Central Europe and the Baltics,CEB,Surface area (sq. km),AG.SRF.TOTL.K2,,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134969,1134969,1134899,1134899,1134899,1134899,1134899,1134899,1134959,1134959,1134949,1134949,1134954,1134960,1134907,1134876,1166359,1166894,1166954,1166954,1166954,1166759,1166770,,
Switzerland,CHE,Surface area (sq. km),AG.SRF.TOTL.K2,,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290.39,41290.39,41290.39,41290.39,,
Channel Islands,CHI,Surface area (sq. km),AG.SRF.TOTL.K2,,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,,
Chile,CHL,Surface area (sq. km),AG.SRF.TOTL.K2,,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756096,756700,756700,756700,,
China,CHN,Surface area (sq. km),AG.SRF.TOTL.K2,,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000.2,9600000.2,9599999.7,9600000.5,9599999.8,9600000,9600000,9600000,9600000.5,9600000.7,9600000.9,9600000.9,9600001.3,9600006.3,9600007.4,9600010.5,9600010.8,9600012.9,,
Cote d'Ivoire,CIV,Surface area (sq. km),AG.SRF.TOTL.K2,,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,322460,,
